.thisRepN,.thisTrialN,.thisN,.thisIndex,thisRow.t,notes,LocalTime_DDMMYY_HMS,lab,mode,eye_tracking,participant,gender,age,handed,intruct_lang,trial,start_position,rotation_odd,angle_odd,angle,trial_direction,catch_trial,t_stim,position,sequence,eeg_trigger,experiment_time_s,t_trial,block,
0,-1,-1,0,,,25/3/2025_18:47:21,none,default,False,test,Male,56,left,English,13,2,clockwise,right,left,anticlockwise,0,1192.3018998932093,top_right,1,22,63.382027899846435,3186.002800008282,4,
0,-1,-1,0,,,25/3/2025_18:47:21,none,default,False,test,Male,56,left,English,13,2,clockwise,right,left,anticlockwise,0,1886.5879999939352,top_left,2,13,63.38256449997425,3186.002800008282,4,
0,-1,-1,0,,,25/3/2025_18:47:21,none,default,False,test,Male,56,left,English,13,2,clockwise,right,left,anticlockwise,0,2574.834099970758,bottom_left,3,44,63.383064799942076,3186.002800008282,4,
0,-1,-1,0,,,25/3/2025_18:47:24,none,default,False,test,Male,56,left,English,14,0,clockwise,right,left,anticlockwise,0,519.1007000394166,top_left,0,11,66.52415859978646,3136.8862001691014,4,
0,-1,-1,0,,,25/3/2025_18:47:24,none,default,False,test,Male,56,left,English,14,0,clockwise,right,left,anticlockwise,0,1227.5234998669475,bottom_left,1,42,66.5253682998009,3136.8862001691014,4,
0,-1,-1,0,,,25/3/2025_18:47:24,none,default,False,test,Male,56,left,English,14,0,clockwise,right,left,anticlockwise,0,1929.6057000756264,bottom_right,2,33,66.52634859993123,3136.8862001691014,4,
0,-1,-1,0,,,25/3/2025_18:47:24,none,default,False,test,Male,56,left,English,14,0,clockwise,right,left,anticlockwise,0,2518.5247000772506,top_right,3,24,66.52727479999885,3136.8862001691014,4,
0,-1,-1,0,,,25/3/2025_18:47:28,none,default,False,test,Male,56,left,English,15,2,clockwise,right,left,anticlockwise,3,533.5880999919027,bottom_right,0,31,69.63468899996951,3103.2060999423265,4,
0,-1,-1,0,,,25/3/2025_18:47:28,none,default,False,test,Male,56,left,English,15,2,clockwise,right,left,anticlockwise,3,1179.4364000670612,top_right,1,22,69.63508659997024,3103.2060999423265,4,
0,-1,-1,0,,,25/3/2025_18:47:28,none,default,False,test,Male,56,left,English,15,2,clockwise,right,left,anticlockwise,3,1802.2293001413345,top_left,2,13,69.63546819984913,3103.2060999423265,4,
0,-1,-1,0,,,25/3/2025_18:47:28,none,default,False,test,Male,56,left,English,15,2,clockwise,right,right,anticlockwise,3,2488.732000114396,bottom_left,3,44,69.63585699978285,3103.2060999423265,4,
0,-1,-1,0,,,25/3/2025_18:47:31,none,default,False,test,Male,56,left,English,16,0,clockwise,right,left,clockwise,2,591.1052001174539,top_left,0,11,72.71270179981366,3070.1665999367833,4,
0,-1,-1,0,,,25/3/2025_18:47:31,none,default,False,test,Male,56,left,English,16,0,clockwise,right,left,clockwise,2,1239.4165000878274,top_right,1,22,72.71560559980571,3070.1665999367833,4,
0,-1,-1,0,,,25/3/2025_18:47:31,none,default,False,test,Male,56,left,English,16,0,clockwise,right,right,clockwise,2,1849.636600119993,bottom_right,2,33,72.71731859981082,3070.1665999367833,4,
0,-1,-1,0,,,25/3/2025_18:47:31,none,default,False,test,Male,56,left,English,16,0,clockwise,right,left,clockwise,2,2451.096300035715,bottom_left,3,44,72.7192764999345,3070.1665999367833,4,
